"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"211",1.3366267465936e-118,0.440881317004825,0.983,0.973,1.73761477057168e-116,"21","Hu.CD38-HIT2"
"212",9.87515749428367e-87,0.370096593371649,0.991,0.986,1.28377047425688e-84,"21","Hu.CD244"
"213",4.00480954620856e-84,0.468372332592761,0.978,0.957,5.20625241007112e-82,"21","Hu.CD94"
"214",6.15153560051573e-80,0.418779986886929,0.966,0.945,7.99699628067045e-78,"21","Hu.CD56"
"215",2.85301771088516e-66,0.391953735814833,0.974,0.952,3.70892302415071e-64,"21","Hu.CD335"
"216",2.69496046776764e-36,0.322443904617144,0.984,0.974,3.50344860809793e-34,"21","Hu.CD71"
"217",2.44099955646817e-35,0.4387396728986,0.968,0.92,3.17329942340863e-33,"21","Hu.CD11a"
"218",4.05296885770788e-29,0.291129385260018,0.953,0.905,5.26885951502025e-27,"21","Hu.CD2"
"219",1.86550898404415e-27,0.500364292979265,0.715,0.596,2.42516167925739e-25,"21","Hu.CD7"
"220",2.86724240330562e-23,0.346607040435389,0.936,0.876,3.72741512429731e-21,"21","Hu.CD18"
"221",0,1.82318983161087,1,0.955,0,"22","Hu.CD123"
"222",8.79808701034625e-214,0.933620144382093,0.995,0.974,1.14375131134501e-211,"22","Hu.CD71"
"223",1.24462207604742e-133,0.676150705810813,0.986,0.954,1.61800869886164e-131,"22","Hu.CD4-RPA.T4"
"224",6.71600990362988e-117,1.3906995235711,0.934,0.867,8.73081287471884e-115,"22","Hu.CD62L"
"225",7.73798626529487e-96,0.765303623857619,0.991,0.957,1.00593821448833e-93,"22","Hu.CD54"
"226",1.12601411608844e-85,0.649396604942637,0.984,0.97,1.46381835091497e-83,"22","Hu.CD49d"
"227",5.54685102686077e-85,0.550659181475203,0.971,0.964,7.210906334919e-83,"22","Hu.HLA.DR"
"228",2.97418625445706e-83,0.788973249957828,0.946,0.831,3.86644213079418e-81,"22","Hu.CD31"
"229",1.07245638089462e-42,0.5953282786775,0.934,0.87,1.394193295163e-40,"22","Hu.CLEC12A"
